word	hindo
旦那	21982
子供	14316
息子	11099
自分	10893
子	10135
感じ	9684
保育園	9620
気	8134
人	7970
病院	7479
コロナ	7306
皆さん	7000
生理	6547
家	6361
赤ちゃん	6346
ミルク	6329
離乳食	5394
抱っこ	5273
気持ち	5208
ママ	4934
子ども	4905
お腹	4817
幼稚園	4743
ご飯	4680
実家	4573
あと	4479
夫	4180
生後	4101
母乳	3918
先生	3867
友達	3847
母	3761
お子さん	3736
下	3714
風呂	3601
ー	3576
義母	3539
車	3438
手	3087
休み	3071
熱	2941
主人	2909
男の子	2885
他	2875
痛み	2842
写真	2831
うち	2764
トイレ	2704
体重	2693
しよう	2637
女の子	2630
タイミング	2581
家族	2560
目	2460
お金	2452
娘	2451
親	2437
頭	2412
ストレス	2344
両親	2285
完	2269
家事	2250
出し手	2230
顔	2225
薬	2180
おっぱい	2176
陣痛	2149
状態	2119
会社	2110
方法	2088
名前	2078
症状	2071
次	2069
周り	2045
言葉	2019
量	2011
オムツ	1998
部屋	1982
口	1969
遊び	1959
職場	1919
育休	1843
外	1781
サイズ	1780
理由	1776
夜中	1736
間	1732
一人	1716
イヤ	1715
おもちゃ	1701
タイプ	1689
パパ	1667
ネット	1647
足	1629
服	1616
つわり	1615
週	1601
様子	1581
場所	1548
状況	1546
このまま	1542
子宮	1509
先	1509
月	1507
パート	1507
妊婦	1496
しない	1482
夫婦	1470
声	1446
二人	1444
野菜	1443
布団	1431
体	1427
心	1414
小児科	1412
機嫌	1408
自宅	1407
横	1396
相手	1376
咳	1366
紐	1341
風邪	1336
鼻水	1331
大人	1328
園	1320
最初	1316
テレビ	1303
陽性	1292
全区	1289
悲鳴	1278
新生児	1238
店	1226
汗	1222
ショック	1219
友人	1214
母親	1206
他方	1201
愚痴	1194
原因	1183
日中	1172
初期	1147
たま	1143
里帰り	1132
体調	1121
アレルギー	1121
お母さん	1116
水	1101
雨	1090
別	1090
本人	1087
リビング	1077
帝王切開	1069
パンツ	1066
公園	1063
長男	1063
胸	1054
張り	1051
いくら	1042
産婦人科	1037
義父	1032
寝室	1005
ベビーカー	994
実母	993
ハート	984
卵	969
最後	960
陰性	954
血	953
月齢	952
スーパー	949
マスク	936
余裕	935
お菓子	929
乳	922
部分	919
歯	911
ベビー	903
ただ	899
パン	881
腰	877
上	871
どこか	869
悪阻	857
大笑い	851
カー	850
床	846
落胆の表情	845
音	844
気分	838
効果	838
乳首	837
思い	834
首	832
保険	828
冷や汗	827
ミ	824
泣き	820
寝返り	816
給料	811
喉	804
半	801
土日	799
隣	789
父	778
内容	776
近所	774
間隔	773
夕飯	772
本当	766
基本	766
アパート	766
仲良し	764
